t,Fx,Fy,Fz,Mx,My,Mz,Rx,Ry,Rz
4.784,-35.2841162432,-4.1563157931,7.5905568508,-0.3416087702,3.9751674059,-0.2972767303,0.0855057002,0.0735,-0.0496068991
4.792,-35.7855674717,-4.7348609376,6.3071722138,-0.3693561982,4.0837632057,-0.3057217186,0.0855057002,0.0735,-0.0496068991
4.8,-30.1359319362,-3.7001657385,5.5486453974,-0.3053848585,3.4032565224,-0.1670146532,0.0855057002,0.0735,-0.0496068991
4.808,-30.2069933797,-2.6725812225,3.8195715927,-0.2635320645,3.4692828488,-0.2169345886,0.0855057002,0.0735,-0.0496068991
4.816,-30.7387533979,-2.6108090289,2.7966463045,-0.2609204807,3.5898465941,-0.3759290499,0.0855057002,0.0735,-0.0496068991
4.824,-26.2787894269,-1.7657581571,2.2057203302,-0.2513125108,3.048997428,-0.2673575433,0.0855057002,0.0735,-0.0496068991
4.832,-25.6420994765,-2.1779015462,2.8021823259,-0.3077200879,2.9614833446,-0.3395715021,0.0855057002,0.0735,-0.0496068991
4.84,-27.656406543,-2.0797610037,2.5585982328,-0.3176044426,3.1867371284,-0.3783684264,0.0855057002,0.0735,-0.0496068991
4.848,-26.7189772628,-2.6254296703,3.9735317603,-0.3982965055,2.9952788058,-0.4439719226,0.0855057002,0.0735,-0.0496068991
4.856,-24.3405866929,-2.5462463569,2.9355536112,-0.3500008283,2.756931421,-0.3463448989,0.0855057002,0.0735,-0.0496068991
4.864,-19.335578984,-3.2978616549,2.3251880709,-0.3612434554,2.1802110472,-0.2496812055,0.0855057002,0.0735,-0.0496068991
4.872,-17.0025205733,-3.2615837201,2.5188869044,-0.3393297667,1.8899151666,-0.2189744799,0.0855057002,0.0735,-0.0496068991
4.88,-14.1523490128,-3.8623280309,1.9079622895,-0.3759962765,1.5438136058,-0.060983568,0.0855057002,0.0735,-0.0496068991
4.888,-9.8341777633,-3.1669939781,-1.2244393123,-0.1304261185,1.1575742752,0.0702868039,0.0855057002,0.0735,-0.0496068991
4.896,-14.4509945903,-3.9437116841,-2.7366920685,-0.2273815807,1.7801709651,0.0245274129,0.0855057002,0.0735,-0.0496068991
4.904,-14.1628638338,-3.333392743,-1.1070086288,-0.1277831365,1.6551402489,0.1057918858,0.0855057002,0.0735,-0.0496068991
4.912,-20.1836896896,-4.0549842427,-2.4631222342,-0.3087135548,2.4679296258,0.118737147,0.0855057002,0.0735,-0.0496068991
4.92,-22.2664153332,-3.5776850685,1.1122973125,-0.1495323791,2.5364583397,0.0474356801,0.0855057002,0.0735,-0.0496068991
4.928,-22.8977401393,-3.7025642616,1.9079260144,-0.1684097365,2.5729477043,-0.0754470533,0.0855057002,0.0735,-0.0496068991
4.936,-21.3150283426,-4.9905204868,2.2993871395,-0.3298863671,2.3616405396,-0.1903720599,0.0855057002,0.0735,-0.0496068991
4.944,-22.6253785378,-3.8126813832,1.7353925677,-0.1981263873,2.5606601255,-0.1698364104,0.0855057002,0.0735,-0.0496068991
4.952,-26.6993959869,-5.2497458059,1.9455548547,-0.3864983534,3.0531888714,-0.3469958074,0.0855057002,0.0735,-0.0496068991
4.96,-28.6973223318,-4.9523764389,1.9866800089,-0.371892594,3.3222651614,-0.4106446161,0.0855057002,0.0735,-0.0496068991
4.968,-27.0247755466,-4.720254268,2.4407950824,-0.3592708271,3.0761167143,-0.4638708664,0.0855057002,0.0735,-0.0496068991
4.976,-25.496564125,-4.2107478733,2.3521967322,-0.2758155654,2.8885137489,-0.5080148201,0.0855057002,0.0735,-0.0496068991
4.984,-25.3932994229,-4.5375931086,0.9525643887,-0.3638624162,2.9378209474,-0.5379485393,0.0855057002,0.0735,-0.0496068991
